OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
184,12,BESSEMER (HENRY),POINT (-87.55906806327098 41.733319855489974),GARDEN,OUTDOOR,-87.55906806,41.73331986,1611
185,12,BESSEMER (HENRY),POINT (-87.55670652023932 41.73307819383415),GYMNASIUM,INDOOR,-87.55670652,41.73307819,1612
186,12,BESSEMER (HENRY),POINT (-87.55834966114654 41.73336252168661),HANDBALL/RACQUET (OUT),OUTDOOR,-87.55834966,41.73336252,1613
187,12,BESSEMER (HENRY),POINT (-87.55669591877621 41.73154744182693),BASEBALL JR/SOFTBALL,OUTDOOR,-87.55669592,41.73154744,1614
188,12,BESSEMER (HENRY),POINT (-87.55673887972517 41.73220522306308),BASEBALL JR/SOFTBALL,OUTDOOR,-87.55673888,41.73220522,1615
189,12,BESSEMER (HENRY),POINT (-87.55757890938843 41.73269686855347),BASEBALL JR/SOFTBALL,OUTDOOR,-87.55757891,41.73269687,1616
190,12,BESSEMER (HENRY),POINT (-87.55832996514297 41.73265429235443),BASEBALL JR/SOFTBALL,OUTDOOR,-87.55832997,41.73265429,1617
191,12,BESSEMER (HENRY),POINT (-87.55605976989115 41.733141037999374),POOL (OUTDOOR),OUTDOOR,-87.55605977,41.73314104,1618
192,12,BESSEMER (HENRY),POINT (-87.55616100071903 41.73235612855701),PLAYGROUND,OUTDOOR,-87.556161,41.73235613,1619
193,12,BESSEMER (HENRY),POINT (-87.55596208063635 41.732001265882815),SPRAY FEATURE,OUTDOOR,-87.55596208,41.73200127,1620
194,12,BESSEMER (HENRY),POINT (-87.55743956051384 41.731780484136635),BASEBALL SR,OUTDOOR,-87.55743956,41.73178048,1621
195,12,BESSEMER (HENRY),POINT (-87.55784845985713 41.73211712204431),BASEBALL SR,OUTDOOR,-87.55784846,41.73211712,1622
196,12,BESSEMER (HENRY),POINT (-87.55617585504817 41.731123828447785),TENNIS COURT,OUTDOOR,-87.55617586,41.73112383,1623
197,12,BESSEMER (HENRY),POINT (-87.55583498018815 41.731126432079066),TENNIS COURT,OUTDOOR,-87.55583498,41.73112643,1624
